Diagnosis,ICD Code
Plasma cell leukemia,C901
Extramedullary plasmacytoma,C902
Solitary plasmacytoma,C903
Lymphoid leukemia,C91
Acute lymphoblastic leukemia [ALL],C910
Chronic lymphocytic leukemia of B-cell type,C911
Prolymphocytic leukemia of B-cell type,C913
Hairy cell leukemia,C914
Adult T-cell lymphoma/leukemia (HTLV-1-associated),C915
Prolymphocytic leukemia of T-cell type,C916
Mature B-cell leukemia Burkitt-type,C91A
Other lymphoid leukemia,C91Z
"Lymphoid leukemia, unspecified",C919
Myeloid leukemia,C92
Acute myeloblastic leukemia,C920
"Chronic myeloid leukemia, BCR/ABL-positive",C921
"Atypical chronic myeloid leukemia, BCR/ABL-negative",C922
Myeloid sarcoma,C923
Acute promyelocytic leukemia,C924
Acute myelomonocytic leukemia,C925
Acute myeloid leukemia with 11q23-abnormality,C926
Acute myeloid leukemia with multilineage dysplasia,C92A
Other myeloid leukemia,C92Z
"Myeloid leukemia, unspecified",C929
Monocytic leukemia,C93
Acute monoblastic/monocytic leukemia,C930
Chronic myelomonocytic leukemia,C931
Juvenile myelomonocytic leukemia,C933
Other monocytic leukemia,C93Z
"Monocytic leukemia, unspecified",C939
Other leukemias of specified cell type,C94
Acute erythroid leukemia,C940
Acute megakaryoblastic leukemia,C942
Mast cell leukemia,C943
Acute panmyelosis with myelofibrosis,C944
"Myelodysplastic disease, not classified",C946
Other specified leukemias,C948
Leukemia of unspecified cell type,C95
Acute leukemia of unspecified cell type,C950
Chronic leukemia of unspecified cell type,C951
"Leukemia, unspecified",C959
"Other and unspecified malignant neoplasms of lymphoid, hematopoietic and related tissue",C96
Malignant mast cell neoplasm,C962
Sarcoma of dendritic cells (accessory cells),C964
Multifocal and unisystemic Langerhans-cell histiocytosis,C965
Unifocal Langerhans-cell histiocytosis,C966
Histiocytic sarcoma,C96A
"Other specified malignant neoplasms of lymphoid, hematopoietic and related tissue",C96Z
"Malignant neoplasm of lymphoid, hematopoietic and related tissue, unspecified",C969
"Carcinoma in situ of oral cavity, esophagus and stomach",D00
"Carcinoma in situ of lip, oral cavity and pharynx",D000
Carcinoma in situ of esophagus,D001
Carcinoma in situ of stomach,D002
Carcinoma in situ of other and unspecified digestive organs,D01
Carcinoma in situ of other and unspecified parts of intestine,D014
"Carcinoma in situ of liver, gallbladder and bile ducts",D015
Carcinoma in situ of other specified digestive organs,D017
"Carcinoma in situ of digestive organ, unspecified",D019
Carcinoma in situ of middle ear and respiratory system,D02
Carcinoma in situ of bronchus and lung,D022
Carcinoma in situ of other parts of respiratory system,D023
"Carcinoma in situ of respiratory system, unspecified",D024
Melanoma in situ,D03
"Melanoma in situ of eyelid, including canthus",D031
Melanoma in situ of ear and external auricular canal,D032
Melanoma in situ of other and unspecified parts of face,D033
Melanoma in situ of scalp and neck,D034
Melanoma in situ of trunk,D035
"Melanoma in situ of upper limb, including shoulder",D036
"Melanoma in situ of lower limb, including hip",D037
Melanoma in situ of other sites,D038
"Melanoma in situ, unspecified",D039
Carcinoma in situ of skin,D04
"Carcinoma in situ of skin of eyelid, including canthus",D041
Carcinoma in situ of skin of ear and external auricular canal,D042
Carcinoma in situ of skin of other and unspecified parts of face,D043
Carcinoma in situ of skin of scalp and neck,D044
Carcinoma in situ of skin of trunk,D045
"Carcinoma in situ of skin of upper limb, including shoulder",D046
"Carcinoma in situ of skin of lower limb, including hip",D047
Carcinoma in situ of skin of other sites,D048
"Carcinoma in situ of skin, unspecified",D049
Carcinoma in situ of breast,D05
Lobular carcinoma in situ of breast,D050
Intraductal carcinoma in situ of breast,D051
Other specified type of carcinoma in situ of breast,D058
Unspecified type of carcinoma in situ of breast,D059
Carcinoma in situ of cervix uteri,D06
Carcinoma in situ of other and unspecified genital organs,D07
Carcinoma in situ of other and unspecified female genital organs,D073
Carcinoma in situ of penis,D074
Carcinoma in situ of prostate,D075
Carcinoma in situ of other and unspecified male genital organs,D076
Carcinoma in situ of other and unspecified sites,D09
Carcinoma in situ of other and unspecified urinary organs,D091
Carcinoma in situ of eye,D092
Carcinoma in situ of thyroid and other endocrine glands,D093
Carcinoma in situ of other specified sites,D098
"Carcinoma in situ, unspecified",D099
Benign neoplasm of mouth and pharynx,D10
Benign neoplasm of other and unspecified parts of mouth,D103
Benign neoplasm of tonsil,D104
Benign neoplasm of other parts of oropharynx,D105
Benign neoplasm of nasopharynx,D106
Benign neoplasm of hypopharynx,D107
"Benign neoplasm of pharynx, unspecified",D109
Benign neoplasm of major salivary glands,D11
"Benign neoplasm of colon, rectum, anus and anal canal",D12
Benign neoplasm of other and ill-defined parts of digestive system,D13
Benign neoplasm of other and unspecified parts of small intestine,D133
Benign neoplasm of liver,D134
Benign neoplasm of extrahepatic bile ducts,D135
Benign neoplasm of pancreas,D136
Benign neoplasm of endocrine pancreas,D137
Benign neoplasm of ill-defined sites within the digestive system,D139
Benign neoplasm of middle ear and respiratory system,D14
Benign neoplasm of bronchus and lung,D143
"Benign neoplasm of respiratory system, unspecified",D144
Benign neoplasm of other and unspecified intrathoracic organs,D15
Benign neoplasm of bone and articular cartilage,D16
Benign neoplasm of scapula and long bones of upper limb,D160
Benign neoplasm of short bones of upper limb,D161
Benign neoplasm of long bones of lower limb,D162
Benign neoplasm of short bones of lower limb,D163
Benign neoplasm of bones of skull and face,D164
Benign neoplasm of lower jaw bone,D165
Benign neoplasm of vertebral column,D166
"Benign neoplasm of ribs, sternum and clavicle",D167
"Benign neoplasm of pelvic bones, sacrum and coccyx",D168
"Benign neoplasm of bone and articular cartilage, unspecified",D169
Benign lipomatous neoplasm,D17
Benign lipomatous neoplasm of skin and subcutaneous tissue of limb,D172
Benign lipomatous neoplasm of skin and subcutaneous tissue of other and unspecified sites,D173
Benign lipomatous neoplasm of intrathoracic organs,D174
Benign lipomatous neoplasm of intra-abdominal organs,D175
Benign lipomatous neoplasm of spermatic cord,D176
Benign lipomatous neoplasm of other sites,D177
"Benign lipomatous neoplasm, unspecified",D179
"Hemangioma and lymphangioma, any site",D18
Hemangioma,D180
"Lymphangioma, any site",D181
Benign neoplasm of mesothelial tissue,D19
Benign neoplasm of soft tissue of retroperitoneum and peritoneum,D20
Other benign neoplasms of connective and other soft tissue,D21
"Benign neoplasm of connective and other soft tissue of upper limb, including shoulder",D211
"Benign neoplasm of connective and other soft tissue of lower limb, including hip",D212
Benign neoplasm of connective and other soft tissue of thorax,D213
Benign neoplasm of connective and other soft tissue of abdomen,D214
Benign neoplasm of connective and other soft tissue of pelvis,D215
"Benign neoplasm of connective and other soft tissue of trunk, unspecified",D216
"Benign neoplasm of connective and other soft tissue, unspecified",D219
Melanocytic nevi,D22
"Melanocytic nevi of eyelid, including canthus",D221
Melanocytic nevi of ear and external auricular canal,D222
Melanocytic nevi of other and unspecified parts of face,D223
Melanocytic nevi of scalp and neck,D224
Melanocytic nevi of trunk,D225
"Melanocytic nevi of upper limb, including shoulder",D226
"Melanocytic nevi of lower limb, including hip",D227
"Melanocytic nevi, unspecified",D229
Other benign neoplasms of skin,D23
"Other benign neoplasm of skin of eyelid, including canthus",D231
Other benign neoplasm of skin of ear and external auricular canal,D232
Other benign neoplasm of skin of other and unspecified parts of face,D233
Other benign neoplasm of skin of scalp and neck,D234
Other benign neoplasm of skin of trunk,D235
"Other benign neoplasm of skin of upper limb, including shoulder",D236
"Other benign neoplasm of skin of lower limb, including hip",D237
"Other benign neoplasm of skin, unspecified",D239
Benign neoplasm of breast,D24
Leiomyoma of uterus,D25
Other benign neoplasms of uterus,D26
Benign neoplasm of ovary,D27
Benign neoplasm of other and unspecified female genital organs,D28
Benign neoplasm of male genital organs,D29
Benign neoplasm of testis,D292
Benign neoplasm of epididymis,D293
Benign neoplasm of scrotum,D294
Benign neoplasm of other specified male genital organs,D298
"Benign neoplasm of male genital organ, unspecified",D299
Benign neoplasm of urinary organs,D30
Benign neoplasm of kidney,D300
Benign neoplasm of renal pelvis,D301
Benign neoplasm of ureter,D302
Benign neoplasm of bladder,D303
Benign neoplasm of urethra,D304
Benign neoplasm of other specified urinary organs,D308
"Benign neoplasm of urinary organ, unspecified",D309
Benign neoplasm of eye and adnexa,D31
Benign neoplasm of conjunctiva,D310
Benign neoplasm of cornea,D311
Benign neoplasm of retina,D312
Benign neoplasm of choroid,D313
Benign neoplasm of ciliary body,D314
Benign neoplasm of lacrimal gland and duct,D315
Benign neoplasm of unspecified site of orbit,D316
Benign neoplasm of unspecified part of eye,D319
Benign neoplasm of meninges,D32
Benign neoplasm of brain and other parts of central nervous system,D33
Benign neoplasm of thyroid gland,D34
Benign neoplasm of other and unspecified endocrine glands,D35
Benign neoplasm of adrenal gland,D350
Benign neoplasm of parathyroid gland,D351
Benign neoplasm of pituitary gland,D352
Benign neoplasm of craniopharyngeal duct,D353
Benign neoplasm of pineal gland,D354
Benign neoplasm of carotid body,D355
Benign neoplasm of aortic body and other paraganglia,D356
Benign neoplasm of other specified endocrine glands,D357
"Benign neoplasm of endocrine gland, unspecified",D359
Benign neoplasm of other and unspecified sites,D36
Benign neoplasm of peripheral nerves and autonomic nervous system,D361
Benign neoplasm of other specified sites,D367
"Benign neoplasm, unspecified site",D369
Benign neuroendocrine tumors,D3A
Benign carcinoid tumors,D3A0
Benign carcinoid tumors of the small intestine,D3A01
"Benign carcinoid tumors of the appendix, large intestine, and rectum",D3A02
Benign carcinoid tumors of other sites,D3A09
Other benign neuroendocrine tumors,D3A8
Neoplasm of uncertain behavior of oral cavity and digestive organs,D37
"Neoplasm of uncertain behavior of lip, oral cavity and pharynx",D370
Neoplasm of uncertain behavior of the major salivary glands,D3703
Neoplasm of uncertain behavior of the minor salivary glands,D3704
Neoplasm of uncertain behavior of pharynx,D3705
Neoplasm of uncertain behavior of other specified sites of the oral cavity,D3709
Neoplasm of uncertain behavior of stomach,D371
Neoplasm of uncertain behavior of small intestine,D372
Neoplasm of uncertain behavior of appendix,D373
Neoplasm of uncertain behavior of colon,D374
Neoplasm of uncertain behavior of rectum,D375
"Neoplasm of uncertain behavior of liver, gallbladder and bile ducts",D376
Neoplasm of uncertain behavior of other specified digestive organs,D378
"Neoplasm of uncertain behavior of digestive organ, unspecified",D379
Neoplasm of uncertain behavior of middle ear and respiratory and intrathoracic organs,D38
Neoplasm of uncertain behavior of female genital organs,D39
Neoplasm of uncertain behavior of ovary,D391
Neoplasm of uncertain behavior of placenta,D392
Neoplasm of uncertain behavior of other specified female genital organs,D398
"Neoplasm of uncertain behavior of female genital organ, unspecified",D399
Neoplasm of uncertain behavior of male genital organs,D40
Neoplasm of uncertain behavior of testis,D401
Neoplasm of uncertain behavior of other specified male genital organs,D408
"Neoplasm of uncertain behavior of male genital organ, unspecified",D409
Neoplasm of uncertain behavior of urinary organs,D41
Neoplasm of uncertain behavior of kidney,D410
Neoplasm of uncertain behavior of renal pelvis,D411
Neoplasm of uncertain behavior of ureter,D412
Neoplasm of uncertain behavior of urethra,D413
Neoplasm of uncertain behavior of bladder,D414
Neoplasm of uncertain behavior of other specified urinary organs,D418
Neoplasm of uncertain behavior of unspecified urinary organ,D419
Neoplasm of uncertain behavior of meninges,D42
Neoplasm of uncertain behavior of brain and central nervous system,D43
Neoplasm of uncertain behavior of endocrine glands,D44
Neoplasm of uncertain behavior of adrenal gland,D441
Neoplasm of uncertain behavior of parathyroid gland,D442
Neoplasm of uncertain behavior of pituitary gland,D443
Neoplasm of uncertain behavior of craniopharyngeal duct,D444
Neoplasm of uncertain behavior of pineal gland,D445
Neoplasm of uncertain behavior of carotid body,D446
Neoplasm of uncertain behavior of aortic body and other paraganglia,D447
Neoplasm of uncertain behavior of unspecified endocrine gland,D449
Polycythemia vera,D45
Myelodysplastic syndromes,D46
Refractory anemia with excess of blasts [RAEB],D462
Refractory cytopenia with multilineage dysplasia,D46A
Refractory cytopenia with multilineage dysplasia and ring sideroblasts,D46B
Myelodysplastic syndrome with isolated del(5q) chromosomal abnormality,D46C
"Refractory anemia, unspecified",D464
Other myelodysplastic syndromes,D46Z
"Myelodysplastic syndrome, unspecified",D469
"Other neoplasms of uncertain behavior of lymphoid, hematopoietic and related tissue",D47
